"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"61","Zach Gentry (LV)","19","25","167","8.8","25","2","0","0","0","0","0","10","35.7","3.6","0.0%"
"62","O.J. Howard (FA)","14","21","135","9.6","21","1","1","0","0","0","0","11","33.5","3.0","0.0%"
"63","Blake Jarwin (FA)","11","17","96","8.7","20","1","2","0","0","0","0","8","32.6","4.1","4.0%"
"64","Eric Ebron (FA)","12","18","84","7.0","19","0","1","1","1","1","0","8","32.5","4.1","0.0%"
"65","Nick Vannett (LAC)","9","15","133","14.8","30","3","1","0","0","0","0","7","28.3","4.0","0.0%"
"66","Adam Shaheen (FA)","12","16","110","9.2","21","1","0","0","0","0","0","9","23.0","2.6","0.0%"
"67","Kylen Granson (IND)","11","15","106","9.6","27","1","0","0","0","0","0","10","21.6","2.2","0.8%"
"68","Lee Smith (FA)","9","11","65","7.2","22","1","1","0","0","0","0","10","21.5","2.2","0.0%"
"69","Jacob Hollister (FA)","9","14","55","6.1","11","0","1","0","0","0","0","7","20.5","2.9","0.0%"
"70","Tommy Sweeney (FA)","9","12","44","4.9","13","0","1","0","0","0","0","7","19.4","2.8","0.0%"
"71","Jesse James (FA)","7","8","62","8.9","19","0","1","0","0","0","0","5","19.2","3.8","0.0%"
"72","Chris Manhertz (DEN)","6","9","71","11.8","22","1","1","0","0","0","0","10","19.1","1.9","0.0%"
"73","Drew Sample (CIN)","11","15","81","7.4","19","0","0","0","0","0","0","10","19.1","1.9","0.1%"
"74","Eric Saubert (HOU)","8","12","47","5.9","11","0","1","0","0","0","0","10","18.7","1.9","0.0%"
"75","Blake Bell (KC)","9","13","87","9.7","24","2","0","4","10","0","0","12","18.7","1.6","0.1%"
"76","Noah Gray (KC)","7","10","36","5.1","8","0","1","0","0","0","0","7","16.6","2.4","1.1%"
"77","Jesper Horsted (LV)","2","3","21","10.5","19","0","2","0","0","0","0","4","16.1","4.0","0.0%"
"78","Antony Auclair (FA)","5","5","47","9.4","15","0","1","0","0","0","0","4","15.7","3.9","0.0%"
"79","Josh Oliver (MIN)","9","15","66","7.3","19","0","0","0","0","0","0","11","15.6","1.4","0.7%"
"80","Ross Dwelley (SF)","4","5","51","12.8","21","1","1","0","0","0","0","4","15.1","3.8","0.0%"
"81","Chris Herndon IV (FA)","4","7","40","10.0","17","0","1","0","0","0","0","6","14.0","2.3","0.0%"
"82","Sean McKeon (DAL)","4","6","27","6.8","12","0","1","0","0","0","0","5","12.7","2.5","0.0%"
"83","Luke Farrell (JAC)","7","11","56","8.0","21","1","0","0","0","0","0","9","12.6","1.4","0.0%"
"84","Tyree Jackson (NYG)","3","7","22","7.3","13","0","1","0","0","0","0","3","11.2","3.7","0.0%"
"85","Chris Myarick (FA)","3","6","17","5.7","10","0","1","0","0","0","0","5","10.7","2.1","0.0%"
"86","Tre' McKitty (BUF)","6","8","45","7.5","12","0","0","0","0","0","0","6","10.5","1.8","0.0%"
"87","Charlie Woerner (SF)","5","6","52","10.4","27","1","0","0","0","0","0","8","10.2","1.3","0.0%"
"88","Parker Hesse (ATL)","5","6","43","8.6","17","0","0","0","0","0","0","4","9.3","2.3","0.0%"
"89","Colby Parkinson (SEA)","5","8","33","6.6","12","0","0","0","0","0","0","6","8.3","1.4","0.1%"
"90","Darren Fells (FA)","4","5","43","10.8","24","1","0","0","0","0","0","3","8.3","2.8","0.0%"
"91","Garrett Griffin (FA)","4","4","39","9.8","14","0","0","0","0","0","0","5","7.9","1.6","0.0%"
"92","Kendall Blanton (FA)","4","7","37","9.3","23","1","0","0","0","0","0","4","7.7","1.9","0.0%"
"93","Tyler Davis (GB)","4","5","35","8.8","22","1","0","0","0","0","0","8","7.5","0.9","0.0%"
"94","Trevon Wesco (TEN)","3","5","35","11.7","19","0","0","0","0","0","0","8","6.5","0.8","0.0%"
"95","Shane Zylstra (DET)","3","7","34","11.3","16","0","0","0","0","0","0","3","6.4","2.1","0.0%"
"96","Kaden Smith (FA)","3","3","33","11.0","21","1","0","0","0","0","0","4","6.3","1.6","0.0%"
"97","Jack Stoll (PHI)","4","5","22","5.5","9","0","0","0","0","0","0","6","6.2","1.0","0.2%"
"98","Tommy Hudson (NO)","3","6","31","10.3","14","0","0","0","0","0","0","4","6.1","1.5","0.0%"
"99","Jeremy Sprinkle (FA)","3","3","31","10.3","11","0","0","0","0","0","0","6","6.1","1.0","0.0%"
"100","Kenny Yeboah (NYJ)","2","3","36","18.0","24","1","0","0","0","0","0","3","5.6","1.9","0.0%"
"101","Dominique Dafney (FA)","2","4","34","17.0","26","1","0","0","0","0","0","6","5.4","0.9","0.0%"
"102","Daniel Brown (FA)","2","2","29","14.5","24","1","0","0","0","0","0","3","4.9","1.6","0.0%"
"103","Mitchell Wilcox (CIN)","3","5","16","5.3","8","0","0","0","0","0","0","4","4.6","1.2","0.0%"
"104","Demetrius Harris (FA)","3","6","10","3.3","7","0","0","0","0","0","0","10","4.0","0.4","0.0%"
"105","Cethan Carter (FA)","2","2","16","8.0","8","0","0","0","0","0","0","8","3.6","0.5","0.0%"
"106","Derek Carrier (FA)","2","2","13","6.5","9","0","0","0","0","0","0","2","3.3","1.7","0.0%"
"107","Luke Stocker (FA)","2","2","12","6.0","7","0","0","0","0","0","0","6","3.2","0.5","0.0%"
"108","Richard Rodgers (FA)","2","2","11","5.5","9","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"109","Ethan Wolf (FA)","2","2","8","4.0","4","0","0","0","0","0","0","1","2.8","2.8","0.0%"
"110","Kevin Rader (TEN)","2","3","8","4.0","7","0","0","0","0","0","0","3","2.8","0.9","0.0%"
"111","Johnny Mundt (MIN)","1","1","9","9.0","9","0","0","0","0","0","0","3","1.9","0.6","4.9%"
"112","Brycen Hopkins (LAR)","1","1","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"113","Hunter Long (LAR)","1","3","8","8.0","8","0","0","0","0","0","0","3","1.8","0.6","0.0%"
"114","Eric Tomlinson (IND)","1","2","7","7.0","7","0","0","0","0","0","0","7","1.7","0.2","0.0%"
"115","Nick Boyle (FA)","1","2","2","2.0","2","0","0","0","0","0","0","2","1.2","0.6","0.0%"
"116","Deon Yelder (FA)","1","1","0","0.0","0","0","0","0","0","0","0","2","1.0","0.5","0.0%"
"117","Darrell Daniels (FA)","1","4","0","0.0","0","0","0","0","0","0","0","10","1.0","0.1","0.0%"
"118","Daniel Helm (FA)","1","2","-1","-1.0","0","0","0","0","0","0","0","3","0.9","0.3","0.0%"
"119","Matthew Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"120","Jared Pinkney (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Antonio Gandy-Golden (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"122","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"123","Jody Fortson (KC)","5","5","47","9.4","27","1","2","0","0","0","0","4","0.0","0.0","0.0%"
"124","Feleipe Franks (ATL)","0","0","0","0","0","0","0","3","6","0","0","6","0.0","0.0","0.0%"
"125","Farrod Green (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"126","Stephen Sullivan (CAR)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"127","Noah Togiai (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"128","Ben Ellefson (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"129","Giovanni Ricci (CAR)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"130","Reggie Gilliam (BUF)","3","5","23","7.7","8","0","0","3","3","0","0","8","0.0","0.0","0.0%"
"131","Rashod Berry (IND)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"132","Miller Forristall (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"133","Jake Hausmann (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"134","Nick Ralston (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"135","Briley Moore (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"136","Jacob Harris (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"137","Sammis Reyes (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"138","Clark Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"139","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"140","Codey McElroy (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"141","Taysom Hill (NO)","4","6","52","13.0","15","0","0","70","374","5","0","12","0.0","0.0","54.3%"
"142","Colin Thompson (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"143","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"144","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"145","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
""
""
